Date,PX_LAST
10/31/82,810.56
11/30/82,848.11
12/31/82,854.43
1/31/83,962.13
2/28/83,789.38
3/31/83,774.85
4/29/83,814.69
5/31/83,774.29
6/30/83,782.74
7/29/83,772.08
8/31/83,778.09
9/30/83,748.66
10/31/83,701.09
11/30/83,745.88
12/30/83,714.73
1/31/84,688.57
2/29/84,718.48
3/30/84,697.95
4/30/84,685.15
5/31/84,698.15
6/29/84,673.20
7/31/84,604.47
8/31/84,620.63
9/28/84,609.49
10/31/84,592.89
11/30/84,580.71
12/31/84,551.60
1/31/85,541.63
2/28/85,510.65
3/29/85,583.00
4/30/85,556.04
5/31/85,555.51
6/28/85,554.46
7/31/85,570.87
8/30/85,581.25
9/30/85,559.42
10/31/85,562.22
11/29/85,555.68
12/31/85,565.81
1/31/86,596.06
2/28/86,579.11
3/31/86,562.30
4/30/86,587.92
5/30/86,581.17
6/30/86,583.86
7/31/86,609.05
8/29/86,651.14
9/30/86,711.66
10/31/86,674.56
11/28/86,650.27
12/31/86,672.57
1/30/87,669.43
2/27/87,669.74
3/31/87,687.16
4/30/87,746.33
5/29/87,736.03
6/30/87,734.37
7/31/87,753.70
8/31/87,731.50
9/30/87,730.69
10/30/87,755.80
11/30/87,787.56
12/31/87,778.90
1/29/88,723.62
2/29/88,685.72
3/31/88,721.44
4/29/88,715.42
5/31/88,719.21
6/30/88,687.16
7/29/88,684.64
8/31/88,676.00
9/30/88,614.17
10/31/88,642.47
11/30/88,657.48
12/30/88,634.00
1/31/89,602.17
2/28/89,598.03
3/31/89,589.91
4/28/89,578.51
5/31/89,552.36
6/30/89,569.56
7/31/89,559.29
8/31/89,543.17
9/29/89,551.43
10/31/89,562.73
11/30/89,613.40
12/29/89,599.38
1/31/90,610.03
2/28/90,600.30
3/30/90,543.49
4/30/90,541.16
5/31/90,530.81
6/29/90,521.73
7/31/90,536.37
8/31/90,553.80
9/28/90,579.57
10/31/90,545.98
11/30/90,548.84
12/31/90,563.95
1/31/91,520.68
2/28/91,523.48
3/29/91,506.60
4/30/91,505.17
5/31/91,510.39
6/28/91,519.70
7/31/91,510.71
8/30/91,488.70
9/30/91,494.85
10/31/91,500.17
11/29/91,511.85
12/31/91,492.24
1/31/92,494.73
2/28/92,489.03
3/31/92,474.67
4/30/92,466.24
5/29/92,464.18
6/30/92,473.28
7/31/92,491.14
8/31/92,470.93
9/30/92,476.69
10/30/92,465.17
11/30/92,457.24
12/31/92,455.19
1/29/93,451.23
2/26/93,448.63
3/31/93,460.36
4/30/93,485.99
5/31/93,514.70
6/30/93,514.69
7/30/93,552.42
8/31/93,506.12
9/30/93,480.67
