Date, PX_LAST 
10/31/82, 278.16 
11/30/82, 286.63 
12/31/82, 291.74 
1/31/83, 302.85 
2/28/83, 306.97 
3/31/83, 313.04 
4/29/83, 338.50 
5/31/83, 334.27 
6/30/83, 346.54 
7/29/83, 333.40 
8/31/83, 335.95 
9/30/83, 338.20 
10/31/83, 332.57 
11/30/83, 334.48 
12/30/83, 330.41 
1/31/84, 326.85 
2/29/84, 310.36 
3/30/84, 311.55 
4/30/84, 312.23 
5/31/84, 291.72 
6/29/84, 294.37 
7/31/84, 289.43 
8/31/84, 318.23 
9/28/84, 316.20 
10/31/84, 313.41 
11/30/84, 305.88 
12/31/84, 308.86 
1/31/85, 327.47 
2/28/85, 329.92 
3/29/85, 324.24 
4/30/85, 319.82 
5/31/85, 335.38 
6/28/85, 336.45 
7/31/85, 332.88 
8/30/85, 326.88 
9/30/85, 315.51 
10/31/85, 326.64 
11/29/85, 349.34 
12/31/85, 362.29 
1/31/86, 363.31 
2/28/86, 385.40 
3/31/86, 405.75 
4/30/86, 395.31 
5/30/86, 416.78 
6/30/86, 421.83 
7/31/86, 394.58 
8/29/86, 422.50 
9/30/86, 385.80 
10/31/86, 409.39 
11/28/86, 415.99 
12/31/86, 403.57 
1/30/87, 456.90 
2/27/87, 472.56 
3/31/87, 482.45 
4/30/87, 479.46 
5/29/87, 479.46 
6/30/87, 498.91 
7/31/87, 526.27 
8/31/87, 543.78 
9/30/87, 530.67 
10/30/87, 422.37 
11/30/87, 377.83 
12/31/87, 399.96 
1/29/88, 416.65 
2/29/88, 433.27 
3/31/88, 417.35 
4/29/88, 420.49 
5/31/88, 423.64 
6/30/88, 439.22 
7/29/88, 435.79 
8/31/88, 417.21 
9/30/88, 433.42 
10/31/88, 441.25 
11/30/88, 431.68 
12/30/88, 438.04 
1/31/89, 466.70 
2/28/89, 452.49 
3/31/89, 458.94 
4/28/89, 480.05 
5/31/89, 495.30 
6/30/89, 488.13 
7/31/89, 529.31 
8/31/89, 534.63 
9/29/89, 528.46 
10/31/89, 514.30 
11/30/89, 520.82 
12/29/89, 527.38 
1/31/90, 489.13 
2/28/90, 492.75 
3/30/90, 499.57 
4/30/90, 485.89 
5/31/90, 529.27 
6/29/90, 522.67 
7/31/90, 517.26 
8/31/90, 465.26 
9/28/90, 438.39 
10/31/90, 438.46 
11/30/90, 463.11 
12/31/90, 469.00 
1/31/91, 488.85 
2/28/91, 520.27 
3/29/91, 528.93 
4/30/91, 528.44 
5/31/91, 547.84 
6/28/91, 519.37 
7/31/91, 541.90 
8/30/91, 551.88 
9/30/91, 540.64 
10/31/91, 544.80 
11/29/91, 520.42 
12/31/91, 576.73 
1/31/92, 563.49 
2/28/92, 568.66 
3/31/92, 555.79 
4/30/92, 570.37 
5/29/92, 570.51 
6/30/92, 562.17 
7/31/92, 581.94 
8/31/92, 568.55 
9/30/92, 574.18 
10/30/92, 573.43 
11/30/92, 591.48 
12/31/92, 600.05 
1/29/93, 600.88 
2/26/93, 608.35 
3/31/93, 619.80 
4/30/93, 600.69 
5/31/93, 616.37 
