Date,PX_LAST
10/31/82,32.91
11/30/82,32.59
12/31/82,33.58
1/31/83,33.08
2/28/83,34.33
3/31/83,34.02
4/29/83,34.89
5/31/83,33.75
6/30/83,33.67
7/29/83,32.17
8/31/83,32.11
9/30/83,33.36
10/31/83,32.78
11/30/83,33.14
12/30/83,32.84
1/31/84,33.27
2/29/84,32.77
3/30/84,32
4/30/84,31.59
5/31/84,29.94
6/29/84,30.17
7/31/84,31.94
8/31/84,32.09
9/28/84,32.59
10/31/84,33.83
11/30/84,34.19
12/31/84,34.23
1/31/85,35.22
2/28/85,33.77
3/29/85,34.45
4/30/85,35.16
5/31/85,37.63
6/28/85,37.91
7/31/85,37.34
8/30/85,38.22
9/30/85,38.28
10/31/85,39.25
11/29/85,40.31
12/31/85,41.89
1/31/86,41.94
2/28/86,44.59
3/31/86,46.58
4/30/86,46.34
5/30/86,44.3
6/30/86,46.59
7/31/86,46.86
8/29/86,48.31
9/30/86,47.34
10/31/86,48.08
11/28/86,48.55
12/31/86,48.53
1/30/87,48.94
2/27/87,49.17
3/31/87,48.39
4/30/87,46.23
5/29/87,45.53
6/30/87,45.98
7/31/87,45.45
8/31/87,44.53
9/30/87,42.83
10/30/87,44.89
11/30/87,44.83
12/31/87,45.41
1/29/88,47.47
2/29/88,47.75
3/31/88,46.66
4/29/88,45.92
5/31/88,45.02
6/30/88,46.36
7/29/88,45.56
8/31/88,45.34
9/30/88,46.63
10/31/88,47.39
11/30/88,46.17
12/30/88,45.84
1/31/89,46.31
2/28/89,45.34
3/31/89,45.41
4/28/89,46.23
5/31/89,47.41
6/30/89,49.02
7/31/89,50.14
8/31/89,48.55
9/29/89,48.48
10/31/89,49.66
11/30/89,49.91
12/29/89,49.47
1/31/90,48.11
2/28/90,47.81
3/30/90,47.39
4/30/90,46.31
5/31/90,47.64
6/29/90,48.25
7/31/90,48.52
8/31/90,47
9/28/90,47.16
10/31/90,47.72
11/30/90,48.83
12/31/90,49.39
1/31/91,49.72
2/28/91,49.67
3/29/91,49.67
4/30/91,49.94
5/31/91,49.84
6/28/91,49.36
7/31/91,49.86
8/30/91,51.02
9/30/91,52.34
10/31/91,52.53
11/29/91,52.78
12/31/91,55.09
1/31/92,53.17
2/28/92,53.48
3/31/92,52.81
4/30/92,52.83
5/29/92,53.92
6/30/92,54.83
7/31/92,56.61
8/31/92,57.16
9/30/92,58.13
10/30/92,56.77
11/30/92,56.47
12/31/92,57.59
1/29/93,59.14
2/26/93,60.53
3/31/93,60.53
4/30/93,60.97
5/31/93,60.83
6/30/93,62.36
7/30/93,62.34
8/31/93,63.69
9/30/93,64.23
10/29/93,64.08
11/30/93,63.11
12/31/93,63.33
1/31/94,64.27
2/28/94,62.45
3/31/94,59.92
4/29/94,59.38
5/31/94,59.17
6/30/94,58.77
7/29/94,60.02
8/31/94,60.06
9/30/94,58.52
10/31/94,58.05
11/30/94,57.81
12/30/94,58.16
1/31/95,59.17
2/28/95,60.73
3/31/95,60.72
4/28/95,61.55
5/31/95,64.42
6/30/95,64.63
7/31/95,63.94
8/31/95,64.55
9/29/95,64.83
10/31/95,65.58
11/30/95,66.58
12/29/95,66.86
1/31/96,67.02
2/29/96,65.05
3/29/96,63.77
4/30/96,62.94
5/31/96,62.36
6/28/96,63.31
7/31/96,63.09
8/30/96,62.52
9/30/96,63.48
10/31/96,64.88
11/29/96,65.98
12/31/96,64.53
1/31/97,64.33
2/28/97,64.08
3/31/97,62.78
4/30/97,63.66
5/30/97,63.98
6/30/97,64.42
7/31/97,66.3
8/29/97,65.13
9/30/97,65.83
10/31/97,66.8
11/28/97,66.72
12/31/97,67.06
1/30/98,68
2/27/98,67.38
3/31/98,67.17
4/30/98,67.14
5/29/98,67.53
6/30/98,67.83
7/31/98,67.66
8/31/98,69.67
9/30/98,72.45
10/30/98,71.78
11/30/98,71.02
12/31/98,70.73
1/29/99,70.75
2/26/99,68.09
3/31/99,68.31
4/30/99,68.31
5/31/99,66.83
6/30/99,66.64
7/30/99,66.13
8/31/99,65.94
9/30/99,66.31
10/29/99,66.08
11/30/99,65.8
12/31/99,64.97
1/31/00,64.23
2/29/00,64.91
3/31/00,66.73
4/28/00,65.97
5/31/00,65.97
6/30/00,67.31
7/31/00,67.58
8/31/00,68.45
9/29/00,68.8
10/31/00,69.14
11/30/00,70.63
12/29/00,71.7
1/31/01,71.95
2/28/01,72.7
3/30/01,72.92
4/30/01,71.25
5/31/01,71.19
6/29/01,71.39
7/31/01,73.53
8/31/01,74.31
9/28/01,76.17
10/31/01,78.08
11/30/01,75.8
12/31/01,74.44
1/31/02,74.95
2/28/02,75.94
3/29/02,73.58
4/30/02,75.81
5/31/02,76.66
6/28/02,77.83
7/31/02,80.28
8/30/02,82.14
9/30/02,84.83
10/31/02,83.97
11/29/02,82.36
12/31/02,85.08
1/31/03,84.25
2/28/03,86.33
3/31/03,86.19
4/30/03,86.38
5/30/03,89.33
6/30/03,88.72
7/31/03,83.56
8/29/03,84.25
9/30/03,87.91
10/31/03,86.11
11/28/03,86.2
12/31/03,86.94
1/30/04,87.84
2/27/04,89.34
3/31/04,90.28
4/30/04,86.45
5/31/04,85.95
6/30/04,86.64
7/30/04,87.73
8/31/04,89.92
9/30/04,89.97
10/29/04,90.72
11/30/04,89.05
12/31/04,89.97
1/31/05,90.23
2/28/05,89.13
3/31/05,88.56
4/29/05,90.31
5/31/05,91.45
6/30/05,91.77
7/29/05,89.75
8/31/05,91.31
9/30/05,89.36
10/31/05,88.16
11/30/05,88.39
12/30/05,89.05
1/31/06,88.27
2/28/06,87.91
3/31/06,86.69
4/28/06,86.02
5/31/06,85.61
6/30/06,85.58
7/31/06,86.53
8/31/06,87.67
9/29/06,88.36
10/31/06,88.48
11/30/06,89.22
12/29/06,87.88
1/31/07,87.28
2/28/07,88.77
3/30/07,88.06
4/30/07,88.23
5/31/07,86.66
6/29/07,86.34
7/31/07,87.73
8/31/07,89.42
9/28/07,89.38
10/31/07,89.97
11/30/07,93.17
12/31/07,93.19
1/31/08,95.92
2/29/08,97.53
3/31/08,98.83
4/30/08,96.22
5/30/08,94.67
6/30/08,95.81
7/31/08,96.58
8/29/08,98.14
9/30/08,97.39
10/31/08,96.08
11/28/08,104.42
12/31/08,109.27
1/30/09,106.59
2/27/09,105.75
3/31/09,108.92
4/30/09,106.16
5/29/09,104.13
6/30/09,103.55
7/31/09,104.44
8/31/09,105.58
9/30/09,107.13
10/30/09,107.38
11/30/09,109.7
12/31/09,106
1/29/10,108.48
2/26/10,109.17
3/31/10,107.97
4/30/10,109.52
5/31/10,112.08
6/30/10,114.64
7/30/10,115.81
8/31/10,118.33
9/30/10,118.27
10/29/10,118.48
11/30/10,117.33
12/31/10,113.95
1/31/11,114.3
2/28/11,113.86
3/31/11,113.7
4/29/11,115.72
5/31/11,118.48
6/30/11,118.38
7/29/11,121.63
8/31/11,125.83
9/30/11,126.78
10/31/11,125.78
11/30/11,126.84
12/30/11,128.73
1/31/12,129.84
2/29/12,128.88
3/30/12,127.53
4/30/12,130.28
5/31/12,132.86
6/29/12,132.2
7/31/12,133.47
8/31/12,133.56
9/28/12,133.48
